gene	coef	HR	p
ARHGEF10L	-0.027787123732689073	0.9725953872412356	0.7651289293827352
HIF3A	0.0771461245904518	1.0801999086299885	0.002382761347911944
RNF17	-0.013573360134885325	0.9865183425444143	0.8801737695097329
RNF10	-0.22316805102415962	0.7999804004721325	0.21046461695401006
RNF11	0.18017632388950192	1.197428479755761	0.1397867217926157
RNF13	0.16730685715688692	1.182116950705812	0.19046337423930518
GTF2IP1	-0.08189463957225514	0.9213690294176028	0.5353040510756112
REM1	0.027757495929195988	1.0281463245181734	0.5669225715674926
MTVR2	0.2417318431826972	1.2734526620135036	0.06030644983702705
RTN4RL2	-0.06952961948954692	0.9328325029527881	0.23931043222245119
C16orf13	-0.17174003534432528	0.8421980864479627	0.023002426653515134
C16orf11	-0.11935601080670674	0.8874917878459445	0.2649924398093204
FGFR1OP2	0.2270467243654311	1.2548885004393553	0.06684388594364957
TSKS	0.0847076566064599	1.0883988339753987	0.14952418468876194
ATRX	0.21586454828890092	1.2409342809446287	0.027164990844656876
PMM2	-0.20160956125210072	0.817414015750886	0.056725296229561906
LOC100272146	-0.0712273589083242	0.9312501400414261	0.37761473537389934
ASS1	0.036931652345921565	1.0376220993782146	0.3161709836556458
NCBP1	0.04024494919821339	1.0410657511839485	0.7568416399813469
ZNF709	0.060581573017234915	1.062454261635348	0.5102860511289755
ZNF708	0.13549439045652828	1.1451027723126384	0.1609802938421086
RBM14	-0.09700110339472313	0.907555004741317	0.6413449207207741
NCBP2	-0.044196849237057405	0.9567656003562046	0.761016318902331
DISC1	0.02424409706144135	1.0245403746651018	0.7360718023965367
CAMK1	0.1231837088258057	1.1310921934808233	0.11068879247244424
RPL37	-0.1162346311239445	0.8902663146041847	0.1649818225889616
SPR	-0.13369138636270206	0.8748600166776191	0.071645125242926
ZNF700	-0.03605368906797346	0.9645885042351069	0.7558764626894467
ZNF707	-0.08729406085247186	0.9164075764144367	0.2591051119608916
CAMK4	-0.16355464788417293	0.8491200951170516	0.0009156027779193773
ZNF704	0.08804892341231159	1.092041547120189	0.08009430432833557
LOC339240	0.09020589770885748	1.0943995948780472	0.7138443977393389
GOLGA6B	0.03942804179745324	1.0402156441437704	0.552440061445121
RNF115	-0.18024599602108382	0.8350647635334513	0.15928567311996472
RNF112	0.11079862258857714	1.1171699114158387	0.029774266724905903
ZC3H14	-0.08997845846114615	0.9139508729674163	0.5290542991950522
SPN	-0.05827587536377185	0.9433896535702595	0.2047623251654086
HMGCLL1	0.010238374414757504	1.0102909659006207	0.7251401039116833
NACAP1	0.01627888257037653	1.01641210550434	0.8681564769235637
LRRTM1	0.03570460811606208	1.036349671990391	0.5681825126247702
GRIN1	0.01856140207561738	1.018734735676464	0.627905959230904
DHX8	0.00504610109808568	1.005058854108201	0.9706698292478952
DHX9	-0.04736812103866675	0.9537362425843297	0.7797855510035688
LOC441204	0.049619244398393623	1.0508708952115244	0.3101868891468372
TCOF1	-0.10803661383556856	0.8975947314428777	0.2933140698291386
LRRTM3	0.1652036812451726	1.1796333634361995	0.004417543236483779
NUP98	0.0591913687140649	1.0609782593589778	0.695592787612491
XPC	0.202917306349418	1.2249711667214265	0.09999961539514333
SLC12A2	0.049616209300407534	1.050867705720227	0.26362103807231063
GRINA	-0.019675983037875523	0.9805163257627714	0.8208531639115384
LRRTM2	0.07547378226242404	1.078394954271506	0.08000162711159661
NUP93	-0.023369791775847783	0.9769011669540446	0.8099540369900085
HAP1	0.03412164237082763	1.0347104637071176	0.3123469733188901
KLRA1	0.019113393564454788	1.0192972238099893	0.7477629053219551
CAMKV	-0.043820730285740093	0.957125525713598	0.2950923509801008
SPPL3	0.11869727258765836	1.1260289868449005	0.4262744590256511
GOLIM4	0.013188505278684804	1.0132758572057936	0.8515584040851943
ZNF646	0.009391574040440982	1.009435813255418	0.9350644743651775
OPA3	0.10601231956467064	1.1118355737524126	0.45655890966756807
OPA1	0.1812081513881852	1.1986646570400608	0.14928649001196165
RHEB	-0.11315383637666057	0.8930132716225962	0.3532493440132167
RAB40C	-0.11841621344872622	0.8883262423310346	0.171065093232178
RAB40B	0.027502387121272287	1.02788406878825	0.7503951545004727
RAB40A	0.04257144208588703	1.0434906028560398	0.5190420016510193
COL7A1	0.008055799756825913	1.0080883350188574	0.8113001722476229
MDP1	-0.056357737665934875	0.9452009414229292	0.535059528030713
GTSE1	-0.09568391306443222	0.9087512150631527	0.014341142156088832
FAM183A	-0.07085522389236965	0.9315967553169886	0.06080524095748253
ARFRP1	-0.09723393044891898	0.9073437259797027	0.24428378575328416
OVCH1	0.15995516642170726	1.1734582594796883	0.07946377659222498
FAM183B	-0.04714223608638684	0.9539517015835302	0.5422993257006496
PSAP	0.06827917163709282	1.0706641658285365	0.5299540769707253
KIAA0831	0.10848750887346469	1.1145909859543464	0.38417965873348625
SPPL2A	0.08153537952521976	1.0849516019775491	0.4266276419266668
SLC46A1	0.012834272381878937	1.0129169851295325	0.8616688232362455
TGFBR2	0.1125105332714855	1.1190840444667551	0.02505941304840509
ITGA8	0.046950349957801875	1.0480699710695314	0.2026187367657079
ITGA9	0.03399084152980916	1.0345751315592264	0.4535778981836024
STK40	0.09726497538939248	1.1021523781878704	0.3585061890041177
MYO3B	-0.02216220479546776	0.9780815726622133	0.4057924346509191
ATP2A1	0.04513361688282453	1.0461676362287358	0.3833435839066043
ATP2A2	0.04171846001889162	1.04260090358743	0.7527515743020865
ATP2A3	0.010203344023340829	1.0102555756325116	0.8229006464605411
ITGA1	0.10976531420278667	1.1160161265884492	0.07179850608380824
ITGA2	0.00027290985470458293	1.000272947097987	0.9953302208288657
ITGA3	0.002582586464751436	1.0025859242138988	0.9653639070689073
ITGA4	-0.012232071411715693	0.9878424362699505	0.8145363791190716
ITGA5	0.031115354889519185	1.0316044976459882	0.7098721428074116
ITGA6	0.03950717846795544	1.040297966603772	0.4495554701871515
ITGA7	0.08243950203436132	1.0859329747159667	0.015289486026094617
TRHR	0.18912946704998398	1.2081973641061368	0.36107625267656696
LOC100132288	0.0028585173461677794	1.0028626068025426	0.9589122950576611
DENND4A	0.09846723805861186	1.103478251712373	0.2514401670756188
DENND4B	-0.035040642003785004	0.9655661729160535	0.7701737743008327
DENND4C	0.17613571974083386	1.1925999070177107	0.06433853739090067
SWAP70	0.05114734179471822	1.0524779558502413	0.6187324507068088
RARRES1	-0.023503053130059164	0.9767709924554133	0.43435644826883646
LOC100132287	0.06573166499717019	1.067940113001504	0.4113193327421226
PHLDA3	0.06655778125418339	1.0688227202082563	0.24916188794608882
PHLDA2	-0.017006457226225555	0.9831373362742222	0.704081263117295
TACO1	-0.05912345474808461	0.9425903947140324	0.546585153183212
PMM1	0.014265763158206777	1.0143680047637609	0.8941121904347702
GAP43	0.04348341734443103	1.0444426745352893	0.3820538622114379
NENF	-0.1936009246962072	0.8239866713940011	0.021903664804034263
SQLE	-0.04586512581180361	0.9551707813870556	0.3599629236899604
MRPL28	-0.16037416686362155	0.8518250046403242	0.06083434811659695
LOC100289341	-0.004027073806346464	0.9959810239815976	0.9578636554646073
FBXL13	-0.0383735104721896	0.9623534246717803	0.41096674077593054
FBXL12	0.01985250779171199	1.0200508793743766	0.8831107778423812
FBXL15	-0.04028818334340537	0.9605125955322157	0.5519271108981255
CYP27B1	-0.057580325541315446	0.9440460563302557	0.1802648346934121
